No.,Reaction number in iLL672,ORF,glucose(aerobe),glucose (anaerobe),galactose,glycerol,ethanol,Plate,row,col,ORF,gene name(s),brief id 
195,    'not included in iLL672',YJL048C,,,,,,3,A,3,YJL048C,,"biological_process unknown, molecular_function unknown, "
196,    'not included in iLL672',YJL047C,,,,,,3,A,4,YJL047C,RTT101,"Regulator of Ty1 Transposition,molecular_function unknown, "
197,    'not included in iLL672',YJL046W,,,,,,3,A,5,YJL046W,,"biological_process unknown, molecular_function unknown, "
198,    'part of iLL672',YJL045W,,,,,,3,A,6,YJL045W,, 
199,    'not included in iLL672',YJL044C,,,,,,3,A,7,YJL044C,GYP6,GTPase-activating protein for Ypt6 
200,    'not included in iLL672',YJL043W,,,,,,3,A,8,YJL043W,,"biological_process unknown, molecular_function unknown, "
201,    'not included in iLL672',YJL038C,,,,,,3,A,9,YJL038C,,"biological_process unknown, molecular_function unknown, "
202,    'not included in iLL672',YJL037W,,,,,,3,A,10,YJL037W,,"biological_process unknown, molecular_function unknown, "
203,    'not included in iLL672',YJL036W,,,,,,3,A,11,YJL036W,SNX4,"Sorting NeXin,molecular_function unknown, "
204,    'not included in iLL672',YJL030W,,,,,,3,A,12,YJL030W,MAD2,"spindle checkpoint complex subunit, mitotic spindle checkpoint, molecular_function unknown, nucleus"
205,    'part of iLL672',YJR073C,,,,,,3,B,1,YJR073C,,
206,    'not included in iLL672',YJR075W,,,,,,3,B,2,YJR075W,,
207,    'part of iLL672',YJR078W,,,,,,3,B,3,YJR078W,,
208,    'not included in iLL672',YJR079W,,,,,,3,B,4,YJR079W,,
209,    'not included in iLL672',YJR082C,,,,,,3,B,5,YJR082C,,
210,    'not included in iLL672',YJR083C,,,,,,3,B,6,YJR083C,,
211,    'not included in iLL672',YJR088C,,,,,,3,B,7,YJR088C,,
212,    'not included in iLL672',YJR092W,,,,,,3,B,8,YJR092W,,
213,    'not included in iLL672',YJR102C,,,,,,3,B,9,YJR102C,,
214,    'part of iLL672',YJR103W,,,,,,3,B,10,YJR103W,,
215,    'part of iLL672',YJR105W,,,,,,3,B,11,YJR105W,,
216,    'not included in iLL672',YJR108W,,,,,,3,B,12,YJR108W,,
217,    'not included in iLL672',YJR110W,,,,,,3,C,1,YJR110W,,
218,    'not included in iLL672',YJR111C,,,,,,3,C,2,YJR111C,,
219,    'not included in iLL672',YJR115W,,,,,,3,C,3,YJR115W,,
220,    'not included in iLL672',YJR127C,,,,,,3,C,4,YJR127C,,
221,    'not included in iLL672',YJR128W,,,,,,3,C,5,YJR128W,,
222,    'not included in iLL672',YJR129C,,,,,,3,C,6,YJR129C,,
223,    'part of iLL672',YJR130C,,,,,,3,C,7,YJR130C,,
224,    'not included in iLL672',YJR135C,,,,,,3,C,8,YJR135C,,
225,    'part of iLL672',YJR137C,,,,,,3,C,9,YJR137C,,
226,    'not included in iLL672',YJR146W,,,,,,3,C,10,YJR146W,,
227,    'not included in iLL672',YJR147W,,,,,,3,C,11,YJR147W,,
228,    'not included in iLL672',YJR149W,,,,,,3,C,12,YJR149W,,
229,    'part of iLL672',YJR152W,,,,,,3,D,1,YJR152W,,
230,    'not included in iLL672',YJR154W,,,,,,3,D,2,YJR154W,,
231,    'not included in iLL672',YLL001W,,,,,,3,D,3,YLL001W,,
232,    'not included in iLL672',YLL002W,,,,,,3,D,4,YLL002W,,
233,    'not included in iLL672',YLL005C,,,,,,3,D,5,YLL005C,,
234,    'not included in iLL672',YLL006W,,,,,,3,D,6,YLL006W,,
235,    'not included in iLL672',YLL009C,,,,,,3,D,7,YLL009C,,
236,    'not included in iLL672',YLL010C,,,,,,3,D,8,YLL010C,,
237,    'not included in iLL672',YLL012W,,,,,,3,D,9,YLL012W,,
238,    'not included in iLL672',YLL013C,,,,,,3,D,10,YLL013C,,
239,    'not included in iLL672',YLL014W,,,,,,3,D,11,YLL014W,,
240,    'not included in iLL672',YLL015W,,,,,,3,D,12,YLL015W,,
241,    'not included in iLL672',YLL016W,,,,,,3,E,1,YLL016W,,
242,    'not included in iLL672',YLL017W,,,,,,3,E,2,YLL017W,,
243,    'not included in iLL672',YLL019C,,,,,,3,E,3,YLL019C,,
244,    'not included in iLL672',YLL020C,,,,,,3,E,4,YLL020C,,
245,    'not included in iLL672',YLL021W,,,,,,3,E,5,YLL021W,,
246,    'not included in iLL672',YLL023C,,,,,,3,E,6,YLL023C,,
247,    'not included in iLL672',YLL024C,,,,,,3,E,7,YLL024C,,
248,    'not included in iLL672',YLL025W,,,,,,3,E,8,YLL025W,,
249,    'not included in iLL672',YLL026W,,,,,,3,E,9,YLL026W,,
250,    'not included in iLL672',YLL027W,,,,,,3,E,10,YLL027W,,
251,    'not included in iLL672',YLL028W,,,,,,3,E,11,YLL028W,,
252,    'not included in iLL672',YLL029W,,,,,,3,E,12,YLL029W,,
253,    'not included in iLL672',YLL032C,,,,,,3,F,1,YLL032C,,
254,    'not included in iLL672',YLL033W,,,,,,3,F,2,YLL033W,,
255,    'not included in iLL672',YLL038C,,,,,,3,F,3,YLL038C,,
256,    'not included in iLL672',YLL039C,,,,,,3,F,4,YLL039C,,
257,    'not included in iLL672',YLL040C,,,,,,3,F,5,YLL040C,,
258,    'part of iLL672',YLL041C,,,,,,3,F,6,YLL041C,,
259,    'not included in iLL672',YLL042C,,,,,,3,F,7,YLL042C,,
260,    'part of iLL672',YLL043W,,,,,,3,F,8,YLL043W,,
261,    'not included in iLL672',YLL045C,,,,,,3,F,9,YLL045C,,
262,    'not included in iLL672',YLL046C,,,,,,3,F,10,YLL046C,,
263,    'not included in iLL672',YLL047W,,,,,,3,F,11,YLL047W,,
264,    'not included in iLL672',YLL051C,,,,,,3,F,12,YLL051C,,
265,    'not included in iLL672',YLL052C,,,,,,3,G,1,YLL052C,,
266,    'not included in iLL672',YLL053C,,,,,,3,G,2,YLL053C,,
267,    'not included in iLL672',YLL054C,,,,,,3,G,3,YLL054C,,
268,    'not included in iLL672',YLL055W,,,,,,3,G,4,YLL055W,,
269,    'not included in iLL672',YLL056C,,,,,,3,G,5,YLL056C,,
270,    'not included in iLL672',YLL057C,,,,,,3,G,6,YLL057C,,
271,    'not included in iLL672',YLL058W,,,,,,3,G,7,YLL058W,,
272,    'not included in iLL672',YLL060C,,,,,,3,G,8,YLL060C,,
273,    'not included in iLL672',YLL061W,,,,,,3,G,9,YLL061W,,
274,    'part of iLL672',YLL062C,,,,,,3,G,10,YLL062C,,
275,    'not included in iLL672',YLL063C,,,,,,3,G,11,YLL063C,,
276,    'not included in iLL672',YLR001C,,,,,,3,G,12,YLR001C,,
277,    'not included in iLL672',YLR003C,,,,,,3,H,1,YLR003C,,
278,    'not included in iLL672',YLR004C,,,,,,3,H,2,YLR004C,,
279,    'not included in iLL672',YLR006C,,,,,,3,H,3,YLR006C,,
280,    'not included in iLL672',YLR011W,,,,,,3,H,4,YLR011W,,
281,    'not included in iLL672',YLR012C,,,,,,3,H,5,YLR012C,,
282,    'not included in iLL672',YLR013W,,,,,,3,H,6,YLR013W,,
283,    'not included in iLL672',YLR014C,,,,,,3,H,7,YLR014C,,
284,    'not included in iLL672',YLR015W,,,,,,3,H,8,YLR015W,,
285,    'not included in iLL672',YLR016C,,,,,,3,H,9,YLR016C,,
286,    'not included in iLL672',YLR017W,,,,,,3,H,10,YLR017W,,
287,    'not included in iLL672',YLR018C,,,,,,3,H,11,YLR018C,,
288,    'not included in iLL672',YLR019W,,,,,,3,H,12,YLR019W,,
289,    'not included in iLL672',YLR020C,,,,,,4,A,1,YLR020C,,
290,    'not included in iLL672',YLR021W,,,,,,4,A,2,YLR021W,,
291,    'not included in iLL672',YLR023C,,,,,,4,A,3,YLR023C,,
292,    'not included in iLL672',YLR024C,,,,,,4,A,4,YLR024C,,
293,    'not included in iLL672',YLR025W,,,,,,4,A,5,YLR025W,,
294,    'part of iLL672',YLR027C,,,,,,4,A,6,YLR027C,,
295,    'part of iLL672',YLR028C,,,,,,4,A,7,YLR028C,,
296,    'not included in iLL672',YML037C,,,,,,4,A,8,YML037C,,"biological_process unknown, molecular_function unknown, "
297,    'part of iLL672',YML035C,,,,,,4,A,9,YML035C,"AMD1, AMD3","putative alpha-mannosidase,AMP deaminase,"
298,    'not included in iLL672',YML034W,,,,,,4,A,10,YML034W,SRC1,"Spliced mRNA and Cell cycle regulated gene, biological_process unknown, molecular_function unknown, "
299,    'not included in iLL672',YML035C-A,,,,,,4,A,11,YML035C-A,,"biological_process unknown, molecular_function unknown, "
300,    'not included in iLL672',YML033W,,,,,,4,A,12,YML033W,,
301,    'not included in iLL672',YML032C,,,,,,4,B,1,YML032C,RAD52,"Required for X-ray damage repair and various types of intra-and interchromosomal mitotic recombination, including HO switching and plasmid exchange. Dispensable for premeiotic DNA synthesis, double strand breaks, synaptonemal complexes, and heteroduplex f"
302,    'not included in iLL672',YML030W,,,,,,4,B,2,YML030W,,"biological_process unknown, molecular_function unknown, "
303,    'not included in iLL672',YML029W,,,,,,4,B,3,YML029W,,"biological_process unknown, molecular_function unknown, "
304,    'part of iLL672',YML028W,,,,,,4,B,4,YML028W,TSA1,"thioredoxin-peroxidase (TPx); reduces H2O2 and alkyl hydroperoxides with the use of hydrogens provided by thioredoxin, thioredoxin reductase, and NADPH, oxidative stress response,"
305,    'not included in iLL672',YML026C,,,,,,4,B,5,YML026C,RPS18B,"Ribosomal protein S18B, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
306,    'not included in iLL672',YML024W,,,,,,4,B,6,YML024W,"RPS17A, RP51A, RPL51A","Ribosomal protein S17A (rp51A), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
307,    'not included in iLL672',YML020W,,,,,,4,B,7,YML020W,,"biological_process unknown, molecular_function unknown, "
308,    'not included in iLL672',YML019W,,,,,,4,B,8,YML019W,OST6,"Putative new 37kDa subunit of N-oligosaccharyltransferase complex,dolichyl-diphosphooligosaccharide-protein glycosyltransferase, "
309,    'not included in iLL672',YML018C,,,,,,4,B,9,YML018C,,"biological_process unknown, molecular_function unknown, "
310,    'not included in iLL672',YML017W,,,,,,4,B,10,YML017W,"PSP2, MRS15","(putative) involved in mRNA splicing,molecular_function unknown,"
311,    'not included in iLL672',YML016C,,,,,,4,B,11,YML016C,PPZ1,"serine-threonine phosphatase Z,protein serine/threonine phosphatase, "
312,    'not included in iLL672',YML014W,,,,,,4,B,12,YML014W,,"biological_process unknown, molecular_function unknown, "
313,    'not included in iLL672',YML013W,,,,,,4,C,1,YML013W,,"biological_process unknown, molecular_function unknown, "
314,    'not included in iLL672',YML013C-A,,,,,,4,C,2,YML013C-A,,"biological_process unknown, molecular_function unknown, "
315,    'not included in iLL672',YML012W,,,,,,4,C,3,YML012W,ERV25,vesicle coat component 
316,    'not included in iLL672',YML011C,,,,,,4,C,4,YML011C,,"biological_process unknown, molecular_function unknown, "
317,    'not included in iLL672',YML010W-A,,,,,,4,C,5,YML010W-A,,"biological_process unknown, molecular_function unknown, "
318,    'not included in iLL672',YML009c,,,,,,4,C,6,YML009c,"MRPL39, YML39","Mitochondrial ribosomal protein MRPL39 (YmL39), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
319,    'part of iLL672',YML008C,,,,,,4,C,7,YML008C,"ERG6, ISE1, LIS1, SED6","S-adenoslymethionine: delta 24-methyltransferase, ergosterol biosynthesis, delta(24)-sterol C-methyltransferase, endoplasmic reticulum*"
320,    'not included in iLL672',YML007W,,,,,,4,C,8,YML007W,"YAP1, PAR1, SNQ3",jun-like transcription factor 
321,    'not included in iLL672',YML006C,,,,,,4,C,9,YML006C,GIS4,"CAAX box containing protein, biological_process unknown, molecular_function unknown, "
322,    'not included in iLL672',YML005W,,,,,,4,C,10,YML005W,,"biological_process unknown, molecular_function unknown, "
323,    'part of iLL672',YML004C,,,,,,4,C,11,YML004C,GLO1,"lactoylglutathione lyase (glyoxalase I),lactoylglutathione lyase, "
324,    'not included in iLL672',YML003W,,,,,,4,C,12,YML003W,,"biological_process unknown, molecular_function unknown, "
325,    'not included in iLL672',YML002W,,,,,,4,D,1,YML002W,,"biological_process unknown, molecular_function unknown, "
326,    'not included in iLL672',YML001W,,,,,,4,D,2,YML001W,"YPT7, AST4, VAM4","GTP-binding protein, rab family, vacuole inheritance*, RAB small monomeric GTPase, Golgi-vacuole transport vesicle"
327,    'not included in iLL672',YMR002W,,,,,,4,D,3,YMR002W,,"biological_process unknown, molecular_function unknown, "
328,    'not included in iLL672',YMR003W,,,,,,4,D,4,YMR003W,,"biological_process unknown, molecular_function unknown, "
329,    'not included in iLL672',YMR006C,,,,,,4,D,5,YMR006C,PLB2,"lysophospholipase phospholipase B,lysophospholipase, "
330,    'not included in iLL672',YMR007W,,,,,,4,D,6,YMR007W,,"biological_process unknown, molecular_function unknown, "
331,    'not included in iLL672',YMR008C,,,,,,4,D,7,YMR008C,PLB1,"Phospholipase B (lypophospholipase),lysophospholipase, "
332,    'not included in iLL672',YMR009W,,,,,,4,D,8,YMR009W,,"biological_process unknown, molecular_function unknown, "
333,    'not included in iLL672',YMR010W,,,,,,4,D,9,YMR010W,,"biological_process unknown, molecular_function unknown, "
334,    'part of iLL672',YMR011W,,,,,,4,D,10,YMR011W,HXT2,"high affinity hexose transporter-2, transport,"
335,    'not included in iLL672',YMR012W,,,,,,4,D,11,YMR012W,"CLU1, TIF31","translation initiation factor eIF3 subunit, protein synthesis initiation*, translation initiation factor, ribosome*"
336,    'not included in iLL672',YMR014W,,,,,,4,D,12,YMR014W,BUD22,"BUD site selection, biological_process unknown, molecular_function unknown, "
337,    'part of iLL672',YMR015C,,,,,,4,E,1,YMR015C,ERG5,"cytochrome P450 involved in C-22 denaturation of the ergosterol side-chain, ergosterol biosynthesis, C-22 sterol desaturase, endoplasmic reticulum"
338,    'not included in iLL672',YMR016C,,,,,,4,E,2,YMR016C,SOK2,"displays homologies to several transcription factors, biological_process unknown, molecular_function unknown, "
339,    'not included in iLL672',YMR017W,,,,,,4,E,3,YMR017W,"SPO20, DBI9","DBF2 Interacting Protein; SNAP 25 homolog, non-selective vesicle fusion*, v-SNARE, prospore membrane"
340,    'not included in iLL672',YMR018W,,,,,,4,E,4,YMR018W,,"biological_process unknown, molecular_function unknown, "
341,    'not included in iLL672',YMR019W,,,,,,4,E,5,YMR019W,STB4,"Binds Sin3p in two-hybrid assay, transcription,"
342,    'part of iLL672',YMR020W,,,,,,4,E,6,YMR020W,FMS1,"Multicopy suppressor of fenpropimorph resistance (fen2 mutant), shows similarity to Candida albicans corticosteroid-binding protein CBP1,molecular_function unknown, "
343,    'not included in iLL672',YMR021C,,,0,,0,4,E,7,YMR021C,"MAC1, CUA1","metal-binding transcriptional activator,transcription factor,"
344,    'not included in iLL672',YMR022W,,,,,,4,E,8,YMR022W,"QRI8, UBC7","ubiquitin conjugating enzyme,ubiquitin--protein ligase,"
345,    'not included in iLL672',YMR023C,,,,,,4,E,9,YMR023C,"MSS1, PET53","putative mitochondrial GTPase, protein biosynthesis, GTP binding, mitochondrion"
346,    'not included in iLL672',YMR024W,,,0,0,0,4,E,10,YMR024W,"MRPL3, YML3","Mitochondrial ribosomal protein MRPL3 (YmL3), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit"
347,    'not included in iLL672',YMR025W,,,,,,4,E,11,YMR025W,,"biological_process unknown, molecular_function unknown, "
348,    'not included in iLL672',YMR026C,,,,,,4,E,12,YMR026C,"PEX12, PAS11","C3HC4 zinc-binding integral peroxisomal membrane protein, peroxisome organization and biogenesis, molecular_function unknown, peroxisomal membrane"
349,    'not included in iLL672',YMR027W,,,,,,4,F,1,YMR027W,HRT2,"High level expression reduced Ty3 Transposition,molecular_function unknown, "
350,    'not included in iLL672',YMR029C,,,,,,4,F,2,YMR029C,,"biological_process unknown, molecular_function unknown, "
351,    'not included in iLL672',YMR030W,,,,,,4,F,3,YMR030W,,"biological_process unknown, molecular_function unknown, "
352,    'not included in iLL672',YMR031W-A,,,,,,4,F,4,YMR031W-A,,"biological_process unknown, molecular_function unknown, "
353,    'not included in iLL672',YMR031C,,,,,,4,F,5,YMR031C,,"biological_process unknown, molecular_function unknown, "
354,    'not included in iLL672',YMR032W,,,,,,4,F,6,YMR032W,"HOF1, CYK2","SH3 domain containing-protein, cytokinesis, cytoskeletal protein binding protein, cytokinetic ring (sensu Saccharomyces)"
355,    'not included in iLL672',YMR034C,,,,,,4,F,7,YMR034C,,"biological_process unknown, molecular_function unknown, "
356,    'not included in iLL672',YMR035W,,,,,,4,F,8,YMR035W,IMP2,"mitochondrial inner membrane protease, mitochondrial processing, peptidase, mitochondrial membrane"
357,    'not included in iLL672',YMR036C,,,,,,4,F,9,YMR036C,MIH1,"homolog of S. pombe cdc25,protein tyrosine phosphatase, "
358,    'not included in iLL672',YMR039C,,,,,,4,F,10,YMR039C,"SUB1, TSP1","transcriptional coactivator, transcription,"
359,    'not included in iLL672',YMR040W,,,,,,4,F,11,YMR040W,,"biological_process unknown, molecular_function unknown, "
360,    'not included in iLL672',YMR041C,,,,,,4,F,12,YMR041C,,"biological_process unknown, molecular_function unknown, "
361,    'not included in iLL672',YMR042W,,,,,,4,G,1,YMR042W,"ARG80, ARGR1","transcription factor, arginine metabolism, transcription factor,"
362,    'not included in iLL672',YMR044W,,,,,,4,G,2,YMR044W,IOC4,"ISWI One Complex, biological_process unknown, molecular_function unknown, "
363,    'not included in iLL672',YMR140W,,,,,,4,G,3,YMR140W,,"biological_process unknown, molecular_function unknown, "
364,    'not included in iLL672',YMR141C,,,,,,4,G,4,YMR141C,,"biological_process unknown, molecular_function unknown, "
365,    'not included in iLL672',YMR143W,,,,,,4,G,5,YMR143W,RPS16A,"Ribosomal protein S16A (rp61R), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit"
